City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dryden,90,CA,21-10-2020,86,49.78,-92.75,28.4,8.05
Ponta do Sol,20,PT,21-10-2020,68,32.67,-17.1,66.2,3.36
Jamestown,90,US,21-10-2020,100,42.1,-79.24,48.99,5.82
Karratha,81,AU,21-10-2020,25,-20.74,116.85,89.22,12.64
Zhireken,0,RU,21-10-2020,79,52.82,117.31,28.81,11.3
Port Lincoln,85,AU,21-10-2020,65,-34.73,135.87,63.7,9.44
Mezen',99,RU,21-10-2020,97,65.85,44.24,32.54,7.36
Wanning,80,CN,21-10-2020,77,18.8,110.4,75.9,15.79
Visakhapatnam,40,IN,21-10-2020,83,17.69,83.21,82.4,6.93
Tiksi,77,RU,21-10-2020,92,71.69,128.87,8.31,8.7
Laguna,1,US,21-10-2020,40,38.42,-121.42,80.01,4.76
Hualmay,46,PE,21-10-2020,82,-11.1,-77.61,62.92,7.4
Vardø,75,NO,21-10-2020,86,70.37,31.11,30.2,6.93
San Ramon,1,US,21-10-2020,40,37.78,-121.98,75.0,5.82
Ouésso,53,CG,21-10-2020,96,1.61,16.05,69.21,1.77
Vila Franca do Campo,20,PT,21-10-2020,72,37.72,-25.43,59.0,12.75
San Patricio,20,US,21-10-2020,83,28.02,-97.52,78.01,10.29
Clyde River,75,CA,21-10-2020,79,70.47,-68.59,26.6,10.29
Alofi,90,NU,21-10-2020,78,-19.06,-169.92,77.0,19.46
Labuhan,28,ID,21-10-2020,60,-6.88,112.21,86.97,4.7
Baker City,90,US,21-10-2020,54,44.77,-117.83,53.6,4.7
Saskylakh,90,RU,21-10-2020,97,71.92,114.08,19.62,8.63
Yellowknife,20,CA,21-10-2020,85,62.46,-114.35,21.99,6.93
Fershampenuaz,0,RU,21-10-2020,89,53.52,59.81,33.82,6.76
Kapaa,90,US,21-10-2020,83,22.08,-159.32,81.0,9.17
Punta Arenas,75,CL,21-10-2020,75,-53.15,-70.92,41.0,5.82
Lebu,0,CL,21-10-2020,79,-37.62,-73.65,48.76,16.8
Ilulissat,100,GL,21-10-2020,95,69.22,-51.1,33.8,9.17
Hobart,40,AU,21-10-2020,51,-42.88,147.33,61.0,5.82
Itarema,0,BR,21-10-2020,78,-2.92,-39.92,78.69,16.28
Bredasdorp,0,ZA,21-10-2020,93,-34.53,20.04,39.2,3.36
Abu Dhabi,0,AE,21-10-2020,78,24.47,54.37,75.2,2.24
Yumen,0,CN,21-10-2020,27,40.28,97.2,59.07,11.25
Palana,100,RU,21-10-2020,89,59.12,159.97,34.68,4.0
Vaini,75,TO,21-10-2020,69,-21.2,-175.2,75.2,6.93
Waingapu,42,ID,21-10-2020,56,-9.66,120.26,87.51,9.48
Kikwit,100,CD,21-10-2020,96,-5.04,18.82,71.1,1.57
Mugur-Aksy,41,RU,21-10-2020,85,50.35,90.5,31.35,4.36
Chokurdakh,61,RU,21-10-2020,96,70.63,147.92,8.89,4.79
Izumo,40,JP,21-10-2020,63,35.37,132.77,66.2,4.7
Krasnyye Chetai,71,RU,21-10-2020,93,55.69,46.14,33.22,13.8
Katsuura,18,JP,21-10-2020,48,35.13,140.3,70.0,19.77
Lātehār,0,IN,21-10-2020,64,23.75,84.5,78.85,0.51
Geraldton,75,AU,21-10-2020,60,-28.77,114.6,69.8,17.22
Hong Kong,37,HK,21-10-2020,66,22.29,114.16,78.01,1.99
Salym,100,RU,21-10-2020,93,60.06,71.48,34.2,6.53
Muros,76,ES,21-10-2020,91,42.78,-9.06,59.0,11.01
Dikson,93,RU,21-10-2020,97,73.51,80.55,24.39,4.59
Mayya,75,RU,21-10-2020,92,61.73,130.28,21.2,4.47
Saint-Pierre,1,RE,21-10-2020,53,-21.34,55.48,72.0,6.93
Moose Factory,1,CA,21-10-2020,94,51.26,-80.61,32.0,4.7
Hithadhoo,46,MV,21-10-2020,80,-0.6,73.08,82.15,13.4
Serebryansk,10,KZ,21-10-2020,92,49.69,83.29,28.4,6.06
Butaritari,34,KI,21-10-2020,72,3.07,172.79,82.51,9.13
Pacific Grove,1,US,21-10-2020,87,36.62,-121.92,62.01,3.36
Būlaevo,100,KZ,21-10-2020,77,54.91,70.44,44.58,5.23
Kuching,20,MY,21-10-2020,66,1.55,110.33,89.6,2.24
Kampong Chhnang,99,KH,21-10-2020,84,12.17,104.55,81.43,10.38
Taltal,11,CL,21-10-2020,68,-25.4,-70.48,58.5,1.99
Ahipara,100,NZ,21-10-2020,71,-35.17,173.17,63.81,6.31
Hornepayne,100,CA,21-10-2020,91,49.21,-84.77,31.48,5.95
Upata,87,VE,21-10-2020,80,8.01,-62.4,82.99,1.99
Nuuk,100,GL,21-10-2020,88,64.18,-51.72,32.0,10.29
Saint-Augustin,100,CA,21-10-2020,91,51.23,-58.65,48.22,12.91
Zunyi,39,CN,21-10-2020,66,27.69,106.91,59.74,7.29
Kiama,69,AU,21-10-2020,64,-34.68,150.87,75.99,7.0
Palauig,100,PH,21-10-2020,85,15.44,119.9,80.74,37.49
Rocha,100,UY,21-10-2020,72,-34.48,-54.33,52.68,10.04
Faanui,11,PF,21-10-2020,80,-16.48,-151.75,79.07,13.96
Henties Bay,2,NA,21-10-2020,86,-22.12,14.28,57.99,3.0
George Town,20,MY,21-10-2020,88,5.41,100.34,78.8,4.7
Iralaya,84,HN,21-10-2020,85,15.0,-83.23,79.61,5.5
Sistranda,75,NO,21-10-2020,69,63.73,8.83,35.6,9.17
Bambanglipuro,31,ID,21-10-2020,74,-7.95,110.28,83.61,7.43
Kwang Binh,100,VN,21-10-2020,89,17.48,106.6,68.56,13.94
Birjand,0,IR,21-10-2020,15,32.87,59.22,37.4,9.17
Saint George,1,US,21-10-2020,11,37.1,-113.58,75.2,4.7
Myshkin,41,RU,21-10-2020,97,57.79,38.45,30.9,9.69
Kīhei,20,US,21-10-2020,40,20.79,-156.47,89.6,11.41
Nikolskoye,90,RU,21-10-2020,92,59.7,30.79,30.99,3.13
Shingū,40,JP,21-10-2020,60,33.73,135.98,71.6,8.05
Castro,41,BR,21-10-2020,91,-24.79,-50.01,62.1,5.55
Bethel,54,US,21-10-2020,97,41.37,-73.41,59.0,0.29
East Moline,90,US,21-10-2020,93,41.5,-90.44,46.99,5.82
Olinda,40,BR,21-10-2020,78,-8.01,-34.86,78.8,12.75
Isangel,75,VU,21-10-2020,62,-19.55,169.27,84.2,9.17
Juba,75,SS,21-10-2020,94,4.85,31.58,70.38,1.99
Cap Malheureux,0,MU,21-10-2020,68,-19.98,57.61,75.99,8.99
Lompoc,90,US,21-10-2020,93,34.64,-120.46,57.2,8.05
Cherskiy,97,RU,21-10-2020,97,68.75,161.3,22.8,3.42
Olafsvik,100,IS,21-10-2020,75,64.89,-23.71,42.91,11.36
Avarua,100,CK,21-10-2020,88,-21.21,-159.78,75.2,6.93
Iwase,75,JP,21-10-2020,55,36.35,140.1,70.0,10.29
Naze,75,JP,21-10-2020,74,28.37,129.48,80.6,16.11
Araouane,0,ML,21-10-2020,19,18.9,-3.53,82.83,9.13
East London,0,ZA,21-10-2020,66,-33.02,27.91,56.97,5.32
Qaanaaq,58,GL,21-10-2020,83,77.48,-69.36,20.57,5.82
Altay,0,CN,21-10-2020,41,47.87,88.12,48.96,2.48
Ust-Nera,49,RU,21-10-2020,86,64.57,143.2,12.78,2.08
Tāybād,0,IR,21-10-2020,30,34.74,60.78,55.9,10.74
Maceió,20,BR,21-10-2020,88,-9.67,-35.74,71.6,1.12
Ribeira Grande,74,PT,21-10-2020,65,38.52,-28.7,63.46,24.54
Ciudad de Allende,40,MX,21-10-2020,57,25.28,-100.02,80.6,5.82
Flin Flon,12,CA,21-10-2020,88,54.77,-101.86,23.63,2.33
Carnarvon,40,AU,21-10-2020,56,-24.87,113.63,73.4,19.46
Chicama,11,PE,21-10-2020,79,-7.84,-79.15,63.7,4.65
Qeshm,0,IR,21-10-2020,37,26.96,56.27,62.6,4.7
Arman',0,RU,21-10-2020,79,59.7,150.17,31.73,2.28
Port Blair,48,IN,21-10-2020,78,11.67,92.75,83.46,15.23
Talnakh,49,RU,21-10-2020,84,69.49,88.4,8.6,2.24
Saint-Philippe,10,RE,21-10-2020,60,-21.36,55.77,71.6,3.36
Jambusar,20,IN,21-10-2020,83,22.05,72.8,80.6,5.48
Kaitangata,57,NZ,21-10-2020,53,-46.28,169.85,55.22,5.46
Qasigiannguit,100,GL,21-10-2020,95,68.82,-51.19,33.8,9.17
Ostrovnoy,100,RU,21-10-2020,82,68.05,39.51,36.27,12.93
Mehamn,91,NO,21-10-2020,84,71.04,27.85,35.35,1.79
Georgiyevskoye,100,RU,21-10-2020,96,58.73,45.02,29.21,10.8
Flinders,67,AU,21-10-2020,65,-34.58,150.86,75.99,7.0
Yangi Marg`ilon,0,UZ,21-10-2020,28,40.43,71.72,51.8,9.17
Ambon City,20,ID,21-10-2020,66,-3.7,128.18,87.8,5.82
College,90,US,21-10-2020,79,64.86,-147.8,23.0,0.74
Kropotkin,19,RU,21-10-2020,59,45.44,40.58,50.0,4.36
Azare,10,NG,21-10-2020,27,11.68,10.19,77.2,4.99
Rudnogorsk,100,RU,21-10-2020,97,57.26,103.75,29.73,5.97
Tolaga Bay,100,NZ,21-10-2020,82,-38.37,178.3,64.08,5.7
São Filipe,70,CV,21-10-2020,69,14.9,-24.5,82.33,4.0
Valparaíso,0,CL,21-10-2020,100,-33.04,-71.63,50.0,8.05
Iqaluit,75,CA,21-10-2020,80,63.75,-68.51,30.2,16.11
La Plata,17,AR,21-10-2020,68,-34.92,-57.95,50.0,1.99
Atyrau,78,KZ,21-10-2020,75,47.12,51.88,41.0,8.95
Bełchatów,100,PL,21-10-2020,68,51.37,19.36,50.0,5.99
Igede,32,NG,21-10-2020,73,10.05,5.94,73.65,1.41
Slonim,100,BY,21-10-2020,78,53.09,25.32,44.87,12.66
Balabac,100,PH,21-10-2020,74,7.99,117.06,84.67,14.79
Touros,40,BR,21-10-2020,88,-5.2,-35.46,73.4,3.36
Harper,72,LR,21-10-2020,81,4.38,-7.72,77.13,4.38
Cam Ranh,75,VN,21-10-2020,94,11.92,109.16,77.0,6.93
Russell,1,US,21-10-2020,93,32.35,-85.2,71.6,5.61
Cayenne,100,GF,21-10-2020,88,4.93,-52.33,78.8,2.24
Khovd,0,MN,21-10-2020,72,48.01,91.64,35.04,2.15
Krasnokamensk,100,RU,21-10-2020,88,50.1,118.04,32.13,17.58
Riyadh,0,SA,21-10-2020,27,24.69,46.72,60.8,8.77
Peterhead,40,GB,21-10-2020,93,57.51,-1.8,52.0,3.36
Los Llanos de Aridane,75,ES,21-10-2020,60,28.66,-17.92,73.4,4.7
Ploemeur,100,FR,21-10-2020,93,47.73,-3.43,59.0,11.41
Caravelas,99,BR,21-10-2020,94,-17.71,-39.25,72.61,1.14
Carroll,21,US,21-10-2020,100,39.55,-77.02,62.01,6.62
Lobito,84,AO,21-10-2020,84,-12.35,13.55,73.17,3.31
Codrington,24,AU,21-10-2020,69,-38.27,141.97,58.5,8.23
Nānākuli,1,US,21-10-2020,70,21.39,-158.15,84.2,8.05
Dingle,62,PH,21-10-2020,80,11.0,122.67,84.27,15.77
Maşyāf,0,SY,21-10-2020,68,35.07,36.34,66.2,4.7
Khatanga,81,RU,21-10-2020,95,71.97,102.5,6.76,8.28
Puerto Ayora,96,EC,21-10-2020,93,-0.74,-90.35,69.01,7.0
Duluth,90,US,21-10-2020,95,46.78,-92.11,33.8,13.87
Lashio,100,MM,21-10-2020,92,22.93,97.75,70.09,0.54
Aklavik,90,CA,21-10-2020,92,68.22,-135.01,23.0,8.05
Haines Junction,100,CA,21-10-2020,84,60.75,-137.51,27.27,3.65
Taitung City,75,TW,21-10-2020,78,22.76,121.14,78.8,8.05
Phan Thiet,100,VN,21-10-2020,73,10.93,108.1,83.48,1.77
Kahului,20,US,21-10-2020,40,20.89,-156.47,89.6,11.41
Ol'ga,100,RU,21-10-2020,69,43.74,135.29,59.5,10.54
Beisfjord,96,NO,21-10-2020,85,68.38,17.6,32.0,16.11
Tarime,91,TZ,21-10-2020,89,-1.35,34.37,64.33,3.09
Portland,87,US,21-10-2020,76,45.52,-122.68,59.0,3.96
Klaksvík,29,FO,21-10-2020,75,62.23,-6.59,41.0,8.05
Fuzhou,90,CN,21-10-2020,69,26.06,119.31,73.4,11.18
Smithers,75,CA,21-10-2020,100,54.78,-127.17,33.8,5.82
Bathsheba,40,BB,21-10-2020,78,13.22,-59.52,82.4,8.05
Necochea,0,AR,21-10-2020,84,-38.55,-58.74,41.0,3.0
Katobu,58,ID,21-10-2020,42,-4.94,122.53,92.93,2.64
Fare,6,PF,21-10-2020,77,-16.7,-151.02,79.66,12.48
Port Alfred,0,ZA,21-10-2020,75,-33.59,26.89,54.7,6.33
Caucayá,100,CO,21-10-2020,96,-0.19,-74.78,73.04,1.3
Vila Velha,75,BR,21-10-2020,94,-20.33,-40.29,69.8,5.82
Lakatoro,75,VU,21-10-2020,66,-16.1,167.42,84.2,9.17
Batticaloa,38,LK,21-10-2020,64,7.71,81.69,83.19,4.23
Vila do Maio,90,CV,21-10-2020,78,15.13,-23.22,80.6,9.17
Don Luan,96,VN,21-10-2020,69,11.53,106.92,86.52,0.81
Donghai,18,CN,21-10-2020,63,22.95,115.64,78.01,5.01
Hay River,75,CA,21-10-2020,73,60.82,-115.8,24.8,17.22
Trofors,98,NO,21-10-2020,60,65.53,13.41,39.2,9.17
Severo-Kuril'sk,62,RU,21-10-2020,65,50.68,156.12,42.48,30.38
Yangjiang,0,CN,21-10-2020,50,21.85,111.97,78.01,10.58
Paamiut,97,GL,21-10-2020,90,61.99,-49.67,34.09,3.65
Lüderitz,0,NA,21-10-2020,45,-26.65,15.16,61.88,14.0
Ussel,89,FR,21-10-2020,25,45.55,2.32,64.0,21.99
Pimentel,35,PE,21-10-2020,85,-6.84,-79.93,62.44,11.81
Bonthe,98,SL,21-10-2020,85,7.53,-12.51,77.95,3.67
Bhānder,0,IN,21-10-2020,18,25.73,78.75,81.5,3.85
Onega,51,RU,21-10-2020,92,63.91,38.14,33.58,9.24
Provideniya,90,RU,21-10-2020,87,64.38,-173.3,44.6,6.71
Gornyak,90,RU,21-10-2020,59,50.99,81.47,41.58,7.65
Corinth,75,GR,21-10-2020,72,37.94,22.96,60.8,10.29
Praia,95,CV,21-10-2020,78,14.92,-23.51,80.6,9.17
Airai,18,TL,21-10-2020,33,-8.93,125.41,81.3,5.48
Deputatsky,100,RU,21-10-2020,95,69.3,139.9,10.35,1.79
Waipawa,42,NZ,21-10-2020,67,-41.41,175.52,62.6,24.16
Asău,0,RO,21-10-2020,100,46.43,26.4,39.2,12.75
Rincon,75,US,21-10-2020,94,32.3,-81.24,73.4,5.82
Abu Samrah,0,SY,21-10-2020,69,35.3,37.18,59.05,3.04
Parintins,22,BR,21-10-2020,62,-2.63,-56.74,79.75,3.65
Takoradze,100,GH,21-10-2020,91,4.88,-1.76,75.9,7.52
Auki,75,SB,21-10-2020,74,-8.77,160.7,84.43,2.95
Hasaki,40,JP,21-10-2020,49,35.73,140.83,70.0,12.75
San Miguel de Tucumán,90,AR,21-10-2020,93,-26.82,-65.22,62.6,6.93
Hunucmá,75,MX,21-10-2020,83,21.02,-89.87,80.6,4.7
Acapulco de Juárez,75,MX,21-10-2020,83,16.86,-99.89,84.2,5.82
Saint Paul Harbor,1,US,21-10-2020,45,57.79,-152.41,46.4,10.29
Toamasina,40,MG,21-10-2020,94,-18.17,49.38,68.0,2.24
Vanimo,100,PG,21-10-2020,73,-2.67,141.3,83.97,1.68
Gushikawa,40,JP,21-10-2020,66,26.35,127.87,84.2,18.34
Lopukhiv,98,UA,21-10-2020,80,48.37,23.96,36.99,4.9
Beringovskiy,55,RU,21-10-2020,86,63.05,179.32,40.89,11.95
Sangar,100,RU,21-10-2020,94,63.92,127.47,19.51,8.46
Paripiranga,84,BR,21-10-2020,98,-10.69,-37.86,64.45,5.82
Chillicothe,90,US,21-10-2020,100,39.33,-82.98,62.01,3.94
Rengo,0,CL,21-10-2020,48,-34.42,-70.87,64.4,3.36
Morón,39,AR,21-10-2020,68,-34.65,-58.62,55.99,5.99
Chumikan,100,RU,21-10-2020,71,54.72,135.31,39.24,5.66
Mergen,67,CN,21-10-2020,49,49.18,125.22,51.42,23.44
Celestún,2,MX,21-10-2020,87,20.87,-90.4,78.76,9.44
Kidal,0,ML,21-10-2020,15,18.44,1.41,84.15,8.86
Semnan,0,IR,21-10-2020,39,35.57,53.4,53.17,1.5
Avera,1,US,21-10-2020,94,33.19,-82.53,68.0,4.7
Lagoa,52,PT,21-10-2020,68,39.05,-27.98,63.12,25.03
Maţāy,0,EG,21-10-2020,79,28.42,30.78,69.08,9.86
Tuatapere,48,NZ,21-10-2020,63,-46.13,167.68,55.99,13.0
Sinnamary,100,GF,21-10-2020,81,5.38,-52.95,79.7,12.06
Haining,100,CN,21-10-2020,72,30.54,120.69,66.2,8.95
Muisne,100,EC,21-10-2020,83,0.6,-80.03,75.33,6.87
Povenets,61,RU,21-10-2020,97,62.85,34.83,30.13,7.58
Tikrit,0,IQ,21-10-2020,36,34.61,43.68,70.5,10.27
Yen Bai,92,VN,21-10-2020,64,21.7,104.87,74.14,5.41
Owando,86,CG,21-10-2020,97,-0.48,15.9,70.03,3.91
Cabo San Lucas,5,MX,21-10-2020,83,22.89,-109.91,84.2,12.75
Salisbury,100,GB,21-10-2020,93,51.07,-1.8,59.0,9.17
Tandil,0,AR,21-10-2020,71,-37.32,-59.13,40.42,6.93
Caconda,0,AO,21-10-2020,84,-13.73,15.07,59.22,4.07
Goderich,100,CA,21-10-2020,84,43.75,-81.72,46.0,17.6
Coahuayana Viejo,98,MX,21-10-2020,85,18.73,-103.68,80.26,1.92
Balakhninskiy,100,RU,21-10-2020,92,58.01,114.28,25.16,6.58
Matamoros,40,MX,21-10-2020,20,25.53,-103.25,82.4,8.66
Ayan,96,RU,21-10-2020,75,56.45,138.17,37.06,9.91
Marinette,90,US,21-10-2020,81,45.1,-87.63,42.8,12.75
Mana,96,GF,21-10-2020,79,5.66,-53.78,80.17,12.15
Praia,95,CV,21-10-2020,78,14.92,-23.51,80.6,9.17
Sola,46,VU,21-10-2020,80,-13.88,167.55,79.52,13.02
San Policarpo,100,PH,21-10-2020,74,12.18,125.51,85.62,13.02
Salalah,1,OM,21-10-2020,47,17.02,54.09,77.0,3.36
Snezhnogorsk,90,RU,21-10-2020,100,69.19,33.25,28.4,4.72
Chernyshevskiy,99,RU,21-10-2020,94,63.01,112.47,17.49,6.78
Todos Santos,0,MX,21-10-2020,86,23.45,-110.22,79.0,2.84
Chapais,90,CA,21-10-2020,98,49.78,-74.85,32.0,2.24
Havre-St-Pierre,40,CA,21-10-2020,93,50.23,-63.6,41.0,18.34
Chornobayivka,0,UA,21-10-2020,86,46.69,32.55,39.2,6.71
Sisimiut,100,GL,21-10-2020,91,66.94,-53.67,33.08,26.69
Hamilton,90,US,21-10-2020,93,39.18,-84.53,55.99,5.01
Bouza,0,NE,21-10-2020,15,14.42,6.04,83.62,6.96
Lorengau,96,PG,21-10-2020,67,-2.02,147.27,84.67,2.86
Upernavik,100,GL,21-10-2020,95,72.79,-56.15,32.43,3.09
Ylivieska,100,FI,21-10-2020,92,64.08,24.55,34.0,4.0
Kungurtug,91,RU,21-10-2020,88,50.6,97.52,29.08,0.83
Kruisfontein,0,ZA,21-10-2020,90,-34.0,24.73,46.99,1.01
Powell River,75,CA,21-10-2020,100,49.85,-124.54,48.2,4.16
San Francisco,20,US,21-10-2020,63,37.77,-122.42,69.8,9.17
Santa Rosa,90,PH,21-10-2020,88,14.31,121.11,82.0,8.05
San Rafael,0,AR,21-10-2020,56,-34.62,-68.33,55.2,8.34
Pecos,1,US,21-10-2020,44,31.42,-103.49,78.8,9.17
Pervomayskoye,99,RU,21-10-2020,66,43.92,46.71,55.35,5.48
Korgen,98,NO,21-10-2020,68,66.08,13.82,28.4,16.11
Buraidah,0,SA,21-10-2020,38,26.33,43.98,60.8,3.36
Santiago de Chuco,99,PE,21-10-2020,72,-8.15,-78.18,53.1,1.81
Baláo,88,EC,21-10-2020,83,-2.92,-79.82,72.39,5.86
Bartica,20,GY,21-10-2020,94,6.4,-58.62,77.0,6.93
Chapleau,100,CA,21-10-2020,90,47.84,-83.4,32.18,5.99
Rawson,0,AR,21-10-2020,59,-43.3,-65.1,50.67,16.44
Mount Isa,0,AU,21-10-2020,13,-20.73,139.5,98.6,8.05
Kavieng,99,PG,21-10-2020,78,-2.57,150.8,81.48,8.61
Juegang,100,CN,21-10-2020,79,32.32,121.19,60.94,3.94
Narsaq,100,GL,21-10-2020,86,60.92,-46.05,30.2,2.24
Bloemhof,45,ZA,21-10-2020,64,-27.65,25.61,57.02,7.14
Byron Bay,0,AU,21-10-2020,56,-28.65,153.62,80.01,12.75
Torbay,75,CA,21-10-2020,93,47.67,-52.73,59.0,19.46
Matata,100,NZ,21-10-2020,83,-37.88,176.75,69.01,1.99
Aden,1,YE,21-10-2020,52,12.78,45.04,83.98,4.21
Bay Roberts,100,CA,21-10-2020,93,47.6,-53.26,57.99,5.99
Itoman,75,JP,21-10-2020,66,26.12,127.67,84.2,18.34
Colares,0,PT,21-10-2020,98,38.8,-9.45,61.0,13.24
Kieta,99,PG,21-10-2020,68,-6.22,155.63,84.56,4.81
Kloulklubed,90,PW,21-10-2020,83,7.04,134.26,82.4,4.7
Camocim,0,BR,21-10-2020,82,-2.9,-40.84,75.72,10.92
Majene,100,ID,21-10-2020,64,-3.54,118.97,85.82,8.95
Saiha,99,IN,21-10-2020,84,22.48,92.97,74.71,1.81
Sungurlu,96,TR,21-10-2020,75,40.17,34.37,53.28,7.85
Belmonte,75,BR,21-10-2020,88,-15.86,-38.88,73.4,4.7
Santa Fe,100,AR,21-10-2020,73,-31.63,-60.7,57.99,4.0
Presidencia Roque Sáenz Peña,34,AR,21-10-2020,69,-26.79,-60.44,78.75,9.62
Fes,90,MA,21-10-2020,72,34.04,-5.0,68.0,3.36
Bastrop,1,US,21-10-2020,100,32.76,-91.87,68.0,3.47
Te Anau,9,NZ,21-10-2020,50,-45.42,167.72,54.43,6.62
Ruffano,5,IT,21-10-2020,93,39.98,18.25,48.2,1.12
Ubari,31,LY,21-10-2020,59,26.59,12.78,65.52,10.0
Mandalgovi,0,MN,21-10-2020,80,45.76,106.27,31.14,17.72
Kodino,85,RU,21-10-2020,98,63.72,39.64,28.56,6.33
Bengkulu,39,ID,21-10-2020,62,-3.8,102.27,85.08,4.16
Seymchan,36,RU,21-10-2020,90,62.88,152.43,21.65,4.09
Mildura,75,AU,21-10-2020,24,-34.2,142.15,81.0,4.7
Luzhou,6,CN,21-10-2020,61,28.87,105.44,68.22,2.35
Itacarambi,30,BR,21-10-2020,70,-15.1,-44.09,73.96,4.88
Biharia,88,RO,21-10-2020,86,47.15,21.92,41.0,6.93
Scarborough,100,GB,21-10-2020,93,54.28,-0.4,55.99,1.99
Bataiporã,0,BR,21-10-2020,83,-22.3,-53.27,71.73,4.99
Tual,100,ID,21-10-2020,86,-5.67,132.75,77.83,8.86
Kandé,64,TG,21-10-2020,79,9.96,1.04,73.56,2.42
Tura,0,IN,21-10-2020,73,25.52,90.22,82.33,1.57
Tazmalt,0,DZ,21-10-2020,33,36.39,4.4,71.6,11.41
Port Hedland,71,AU,21-10-2020,58,-20.32,118.57,86.0,17.22
Winsum,100,NL,21-10-2020,92,53.33,6.52,57.0,1.01
Rafaela,100,AR,21-10-2020,62,-31.25,-61.49,55.99,5.01
Baykit,99,RU,21-10-2020,94,61.67,96.37,26.55,2.33
Santa Cruz do Capibaribe,100,BR,21-10-2020,94,-7.96,-36.2,66.15,4.65
Husavik,63,IS,21-10-2020,92,66.04,-17.34,23.0,3.36
Chui,100,UY,21-10-2020,72,-33.7,-53.46,58.15,13.47
Ughelli,96,NG,21-10-2020,96,5.49,6.01,74.97,2.21
Alice Springs,40,AU,21-10-2020,24,-23.7,133.88,95.0,18.34
Alberton,100,CA,21-10-2020,89,46.82,-64.07,52.38,11.3
Souillac,40,MU,21-10-2020,83,-20.52,57.52,73.4,10.29
Ovalle,0,CL,21-10-2020,71,-30.6,-71.2,53.69,1.43
